#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
GB|SOFL|62.0685|-6.96583|0.0|Sornfelli, Faroe Islands, DK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|STNC|53.09133|-2.20617|234.0|Stoke Newchapel, Staffordshire, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|SWN1|51.51317|-1.80033|192.0|Wroughton, Wiltshire, England, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|WACR|52.72433|0.62833|62.0|West Acre, Norfolk, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GB|WLF1|53.28933|-4.39667|58.0|Llynfaes, Anglesey, Wales, UK|2025-02-06T00:00:00.0000|2029-12-31T00:00:00.0000
GE|APE|37.068901|25.5306|620.0|GEOFON/NOA Station Apirathos, Naxos, Greece|2008-05-02T00:00:00.0000|
GE|BKB|-1.1073|116.9048|110.0|GEOFON Station Balikpapan, Kalimantan, Indonesia|2009-06-09T00:00:00.0000|
GE|BKNI|0.3262|101.039597|65.0|GEOFON Station Bangkinang, Sumatra, Indonesia|2008-04-29T00:00:00.0000|
GE|BOA|12.4493|-85.665901|381.0|GEOFON Station Boaco, Nicaragua|1999-11-11T00:00:00.0000|
GE|BOAB|12.4493|-85.665901|381.0|INETER/GEOFON Station Boaco, Nicaragua|1999-11-11T00:00:00.0000|
GE|BRNL|52.427799|13.358|42.0|GRSN Station Berlin-Lankwitz, Germany|1991-04-06T00:00:00.0000|
GE|CISI|-7.5557|107.8153|544.0|GEOFON Station Cisomped, Java, Indonesia|2008-07-21T00:00:00.0000|
GE|CSS|34.961102|33.331001|396.0|GEOFON/GII Station Mathiatis, Cyprus|2008-08-28T00:00:00.0000|
GE|DAG|76.771301|-18.655001|23.0|GEOFON/AWI Station Danmarkshavn, Greenland|1999-07-19T00:00:00.0000|
GE|DAMY|14.5725|44.391701|2488.0|GEOFON Station Dhamar, Yemen|2008-09-17T00:00:00.0000|
GE|DSB|53.245201|-6.3762|236.0|GEOFON Station Dublin, Ireland|1999-07-23T00:00:00.0000|
GE|EIL|29.669901|34.951199|210.0|GEOFON Station Eilat, Israel|2008-05-23T00:00:00.0000|
GE|FAKI|-2.91925|132.248886|136.0|GEOFON Station Fak Fak, Irian Jaya, Indonesia|2008-12-01T00:00:00.0000|
GE|FLT1|52.330601|11.2372|100.0|Temp GEOFON Station Flechtingen, Germany|2008-11-19T00:00:00.0000|
